Timestamp,Text,Label
24/09/2018 12:52:47,HIV/AIDS menular lewat penggunaan pisau cukur secara bergantian dalam keluarga atau di tempat potong rambut.,Mitos
24/09/2018 12:52:55,HIV/AIDS menular lewat penggunaan alat makan secara bergantian antara ODHA dengan orang sehat.,Mitos
24/09/2018 12:53:04, Virus HIV bisa ditularkan lewat makanan kaleng yang sudah diinjeksikan dengan darah yang mengandung virus.,Mitos
24/09/2018 12:53:22,"Faktanya, memakai pisau cukur bergantian dengan ODHA tidak akan menularkan virus. Sebab, virus mudah mati di udara bebas. Tetapi memakai pisau cukur bergantian tidak disarankan demi alasan kebersihan.",Fakta
24/09/2018 12:53:39,"Faktanya, tidak. Selain karena virus mudah mati di udara bebas, virus dalam air liur tidak cukup banyak untuk ditularkan pada orang lain.",Fakta
24/09/2018 12:53:49,"Faktanya, salah. Virus HIV mudah mati di luar tubuh manusia. Selain itu, makanan kaleng juga melewati proses sterilisasi sehingga virus mudah mati.",Fakta
24/09/2018 12:54:40,"Virus HIV menular lewat ciuman. Hal ini disebabkan karena virus terdapat di air liur mata dan keringat, sehingga apabila kita melakukan kontak dengan ODHA maka dapat menularkan virus tersebut",Mitos
24/09/2018 12:54:50,"Faktanya, salah. Virus HIV tinggal di sel T, salah satu bagian sel darah putih manusia. Sel ini ada di semua cairan tubuh manusia dalam jumlah yang berbeda. Paling banyak ada di dalam darah, kemudian cairan vagina, cairan semen atau mani serta ASI.

Virus memang ada di air liur, air mata dan keringat tapi jumlahnya sangat sedikit sehingga tidak cukup untuk menularkan virus HIV.",Fakta
24/09/2018 12:55:39,Virus HIV dapat ditularkan lewat jarum terinfeksi yang ditancapkan di kursi bioskop,Mitos
24/09/2018 12:55:51,"Faktanya, virus HIV mudah mati di udara bebas dalam waktu kurang dari semenit. Tanpa inangnya, seperti darah, sperma, ASI dan cairan vagina, virus yang ada di udara bebas akan cepat mati.",Fakta
24/09/2018 12:56:01,HIV/AIDS bisa ditularkan melalui air kolam renang.,Mitos
24/09/2018 12:56:07,"Faktanya, salah. Tak masalah berenang bersama ODHA karena virus HIV mudah mati di udara bebas, apalagi air kolam renang mengandung kaporit yang mempercepat matinya virus.",Fakta
24/09/2018 12:56:24,HIV/AIDS bisa ditularkan lewat pakaian bekas.,Mitos
24/09/2018 12:56:30,"Faktanya, salah. HIV/AIDS hanya bisa menular lewat kontak cairan tubuh seperti darah, cairan vagina, cairan mani dan ASI. Penularannya bisa lewat penggunaan jarum suntik yang tidak steril, hubungan seks tidak aman juga pemberian ASI dari ibu ke anak.",Fakta
24/09/2018 12:56:47, HIV/AIDS ditularkan lewat pembalut kewanitaan yang sudah terkontaminasi virus.,Mitos
